Название услуги,Ориентировочная стоимость,Срок исполнения (дни),Размер предоплаты
Извлечение ценной информации из Big Data с фокусом на безопасность,28838.53,396,3398.7
Анализ уязвимостей веб-приложений для медицинской организации,34503.42,151,19658.19
Анализ уязвимостей веб-приложений для стартапа,28743.77,52,16448.06
Настройка автоматизации развертывания для образовательной платформы,26520.16,161,7779.43
Функциональное тестирование программных продуктов для образовательной платформы,8898.94,49,4440.03
Внедрение комплексных систем безопасности для конечных пользователей,23604.39,140,3845.46
Настройка и оптимизация GCP для конечных пользователей,15587.92,95,8699.08
Проектирование UI для малого и среднего бизнеса,4966.56,47,1130.37
Разработка нативного Android приложения с фокусом на безопасность,18008.73,273,8978.96
Архитектура облачных решений на AWS с использованием микросервисной архитектуры,9602.16,115,4108.24
Создание бэкенда в сфере E-commerce,13762.41,255,6264.76
Создание AAA-проектов на Unreal Engine с учетом масштабируемости,28899.74,585,3459.54
Оценка зрелости IT-инфраструктуры для логистической компании,7751.51,83,2349.53
Создание iOS приложения под ключ для внутреннего использования,53949.56,121,31410.73
Базовая IT-поддержка пользователей для медицинской организации,3087.1,10,1425.08
Миграция данных в SQL базы для стартапа,24208.68,96,10745.39
Операционный IT-консалтинг с применением облачных технологий,2941.51,12,359.69
Прикладная статистика для бизнеса для логистической компании,19528.47,97,10799.59
Разработка игр на Unreal Engine для внутреннего использования,55550.37,226,8085.38
Создание пользовательских интерфейсов для DApps для медицинской организации,44794.51,491,26386.92
Создание бэкенда на основе анализа требований,32520.45,295,11500.52
Настройка и адаптация корпоративной ERP для финансового сектора,127567.79,699,72532.52
Оценка уровня защищенности систем с фокусом на безопасность,4924.39,33,1170.86
Прикладная статистика для бизнеса для логистической компании,10571.43,97,2295.68
Аутсорсинг функций IT-менеджмента для образовательной платформы,16774.71,97,8531.03
Прикладная статистика для бизнеса на основе анализа требований,21241.61,77,3826.69
Интеграция CRM с маркетинговыми инструментами для образовательной платформы,17875.22,287,3394.99
Разработка мобильного приложения на Flutter в сфере E-commerce,68516.62,115,16712.72
Разработка и аудит смарт-контрактов для внутреннего использования,81275.45,173,46231.67
Настройка межсетевых экранов и систем обнаружения вторжений для малого и среднего бизнеса,8106.25,168,4801.74
Аутсорсинг разработки с применением облачных технологий,26783.37,54,7145.14
Оказание технической поддержки первой линии на основе анализа требований,3892.2,24,799.3
Разработка 2D/3D игр на Unity для медицинской организации,31429.14,88,11427.36
Управление облачной инфраструктурой в Azure для стартапа,12114.88,101,2764.08
Построение прогнозных моделей с учетом масштабируемости,59813.18,238,31137.22
Создание интерфейсов взаимодействия для крупной корпорации,34391.76,161,6724.45
Проведение аналитики больших данных с фокусом на безопасность,25125.39,489,8257.22
Предоставление выделенной команды разработчиков для медицинской организации,47717.03,107,5195.62
Создание кроссплатформенного приложения (React Native) для финансового сектора,24669.1,378,6568.29
Экспертная IT-поддержка и решение инцидентов для логистической компании,5904.5,45,2815.97
Создание бэкенда для малого и среднего бизнеса,28615.31,194,14196.48
Создание кроссплатформенного приложения (React Native) с учетом масштабируемости,54564.29,284,21661.14
Разработка IT-стратегии для конечных пользователей,14011.84,53,1814.85
Разработка пайплайнов обработки данных для финансового сектора,26606.63,118,4528.94
Архитектура облачных решений на Azure для образовательной платформы,29147.27,172,12036.3
Разработка и аудит смарт-контрактов с расширенным функционалом,93005.09,383,43746.16
Настройка и адаптация CRM для отдела продаж для логистической компании,8636.62,53,2893.33
Создание облачной платформы для IoT для медицинской организации,19601.4,395,4810.98
Проведение ручного тестирования ПО для стартапа,1717.25,14,357.7
Автоматизация DevOps процессов на основе анализа требований,22227.25,55,5269.56
Программирование встраиваемых систем для IoT на основе анализа требований,35340.37,313,7594.17
Консультации по цифровой трансформации с фокусом на безопасность,7802.07,35,2540.32
Создание iOS приложения под ключ с учетом масштабируемости,62461.27,166,16999.71
Внедрение ERP-системы для крупной корпорации,42373.54,96,23818.45
Разработка Flutter приложения с нуля в сфере E-commerce,20118.93,400,4048.75
Обслуживание серверов и сетевого оборудования для внутреннего использования,7141.71,24,4143.87
Проектирование и разработка веб-платформы с фокусом на безопасность,69443.76,353,9483.52
Анализ и интерпретация данных для принятия решений в сфере E-commerce,15701.6,115,3346.3
Проведение пенетрационного тестирования (пентеста) для крупной корпорации,18054.32,35,6289.59
Внедрение 1C:ERP для внутреннего использования,46724.02,281,20964.43
Внедрение комплексных систем безопасности с применением облачных технологий,23428.82,67,13376.06
Внедрение автоматизированного тестирования ПО в сфере E-commerce,3332.17,58,1504.93
Предоставление команды IT-специалистов в сфере E-commerce,13404.7,98,2627.1
Тестирование на проникновение с фокусом на безопасность,20439.07,65,11537.04
Создание iOS приложения под ключ для образовательной платформы,55462.0,138,32557.15
Разработка пользовательского интерфейса для стартапа,3235.37,97,1564.81
Разработка моделей классификации и регрессии в сфере E-commerce,59037.82,358,30090.05
Создание кроссплатформенного приложения (Flutter) для внутреннего использования,65216.53,296,32658.61
Разработка дашбордов и отчетов для малого и среднего бизнеса,18409.69,62,8400.56
Создание AAA-проектов на Unreal Engine для медицинской организации,72984.14,233,22455.88
Внедрение CI/CD с использованием микросервисной архитектуры,20782.47,40,2498.24
Создание кроссплатформенного приложения (Flutter) для образовательной платформы,49084.52,233,26835.65
Миграция в GCP на основе анализа требований,23525.5,64,10150.97
Построение хранилищ больших данных для крупной корпорации,26560.4,299,5046.59
Приемочное тестирование для малого и среднего бизнеса,1527.36,38,237.3
Разработка нативного Android приложения для конечных пользователей,44848.17,46,5755.43
Внедрение BPM-систем с применением облачных технологий,33606.81,50,5999.51
Проектирование и реализация RESTful/GraphQL API для логистической компании,13539.31,164,3484.61
Настройка и оптимизация AWS для малого и среднего бизнеса,37804.8,74,14141.26
Настройка и оптимизация AWS с расширенным функционалом,31608.34,105,5279.52
Создание AAA-проектов на Unreal Engine для образовательной платформы,36299.2,246,13478.07
Миграция в Azure с применением облачных технологий,14116.23,101,1538.4
Разработка нативного Android приложения для конечных пользователей,12004.81,365,5165.61
Разработка API с учетом масштабируемости,29967.81,301,16066.64
Создание Android приложения под ключ для медицинской организации,12499.46,366,6710.89
Настройка и оптимизация GCP для внутреннего использования,27922.97,45,13906.82
Разработка прошивок и ПО для IoT-устройств для малого и среднего бизнеса,27664.96,256,5538.84
Обслуживание серверов и сетевого оборудования для стартапа,1596.78,22,240.4
Создание облачной платформы для IoT для образовательной платформы,36172.62,185,8000.04
Миграция данных в SQL базы для внутреннего использования,13130.61,149,4739.06
Проведение пенетрационного тестирования (пентеста) на основе анализа требований,32578.51,118,7668.42
Проектирование и реализация RESTful/GraphQL API для медицинской организации,13210.37,155,3234.06
Внедрение 1C:ERP в сфере E-commerce,137512.12,586,70575.85
Разработка пользовательского опыта (UX) для внутреннего использования,8323.17,80,4531.51
Разработка облачного SaaS продукта для стартапа,85017.94,395,25342.8
Аутсорсинг разработки для стартапа,11938.09,197,5537.11
Разработка серверной части для IoT-решений с использованием микросервисной архитектуры,20594.41,315,3799.59
Настройка и оптимизация AWS для медицинской организации,22063.91,122,7040.61
Внедрение 1C:ERP для медицинской организации,111939.0,499,65393.27
Разработка бэкенда для управления IoT-устройствами для малого и среднего бизнеса,51070.08,234,14788.18
Проведение ручного тестирования ПО с использованием микросервисной архитектуры,8309.32,32,3427.09
Оказание технической поддержки первой линии для логистической компании,1629.15,5,247.39
Оказание технической поддержки первой линии для конечных пользователей,1417.3,20,564.75
Разработка серверной части веб-приложения в сфере E-commerce,24853.72,204,7779.07
Построение хранилищ больших данных для крупной корпорации,17462.15,513,2343.93
Разработка тестовых сценариев и фреймворков для крупной корпорации,9124.56,63,3627.78
Создание фулстек решения для крупной корпорации,52509.52,102,10394.61
Построение DWH и витрин данных для крупной корпорации,26599.59,188,7988.09
Настройка и оптимизация AWS для внутреннего использования,8678.09,60,2891.11
Разработка бэкенда для управления IoT-устройствами в сфере E-commerce,22872.17,186,4450.63
Предоставление выделенной команды разработчиков для конечных пользователей,14365.9,141,4240.85
Разработка высокопроизводительного iOS приложения с фокусом на безопасность,54116.85,274,31519.99
Разработка решений на основе обработки естественного языка (NLP) с применением облачных технологий,19628.04,246,3890.05
Аутсорсинг функций IT-менеджмента для малого и среднего бизнеса,7412.55,98,2471.24
Автоматизация регрессионного тестирования для стартапа,18810.22,111,6207.39
Управление облачной инфраструктурой в GCP на основе анализа требований,36911.04,60,6547.39
Построение системы управления проектами с учетом масштабируемости,20130.14,123,7242.11
Миграция в AWS с учетом масштабируемости,25597.28,172,9298.31
Разработка IT-стратегии с учетом масштабируемости,2302.51,104,691.8
Аутсорсинг разработки для конечных пользователей,34241.32,204,5074.75
Архитектура облачных решений на Azure для малого и среднего бизнеса,37507.43,132,18726.2
Разработка моделей классификации и регрессии для логистической компании,64769.36,367,16055.88
Разработка смарт-контрактов на Solidity для крупной корпорации,26827.16,395,2929.82
Разработка API на основе анализа требований,24683.28,213,11959.94
Разработка B2B/B2C E-commerce решения с фокусом на безопасность,78495.5,104,38507.09
Разработка sentiment analysis моделей в сфере E-commerce,16892.04,496,6250.34
Аудит соответствия стандартам безопасности для медицинской организации,23049.65,50,9622.53
Построение прогнозных моделей с расширенным функционалом,54669.61,336,13161.67
Программирование встраиваемых систем для IoT на основе анализа требований,23588.03,274,2856.19
Автоматизация DevOps процессов на основе анализа требований,21860.69,160,5233.01
Разработка веб-приложения полного цикла для финансового сектора,21508.67,85,12760.01
Тестирование на проникновение с использованием микросервисной архитектуры,27493.02,104,12012.14
Архитектура облачных решений на GCP для малого и среднего бизнеса,17340.59,112,9215.66
Внедрение корпоративной аналитики с фокусом на безопасность,6059.56,105,752.0
Проектирование и реализация RESTful/GraphQL API для финансового сектора,17357.52,63,6158.86
Внедрение Bitrix24 с использованием микросервисной архитектуры,29211.86,51,15246.34
Настройка автоматизации развертывания для малого и среднего бизнеса,28956.62,168,10179.63
Создание мультиарендной SaaS платформы с учетом масштабируемости,106058.28,590,59014.11
UX-исследование и проектирование для финансового сектора,6216.72,83,1153.6
Создание фулстек решения для медицинской организации,31578.77,150,7389.61
Подбор IT-персонала для проекта в сфере E-commerce,13800.08,31,1935.06
Разработка прошивок и ПО для IoT-устройств для малого и среднего бизнеса,25525.14,135,9722.64
Реинжиниринг бизнес-процессов для финансового сектора,6096.8,19,2534.3
Разработка Firmware для микроконтроллеров для крупной корпорации,39200.92,241,16350.16
Оптимизация рабочих потоков для конечных пользователей,6037.64,96,1742.26
Создание пользовательских интерфейсов для DApps для финансового сектора,30271.51,94,15066.01
Программирование встраиваемых систем для IoT для конечных пользователей,39857.62,238,17931.29
Создание мультиарендной SaaS платформы с расширенным функционалом,47030.87,367,18917.94
UX-исследование и проектирование для малого и среднего бизнеса,13558.43,19,2759.09
Анализ уязвимостей веб-приложений с расширенным функционалом,30299.62,32,9832.39
Проведение статистического анализа данных для логистической компании,7827.97,76,982.35
Настройка автоматизации развертывания с применением облачных технологий,3900.71,53,1232.45
Разработка игр на Unity с учетом масштабируемости,33009.83,83,15772.06
Разработка стратегии автоматизации инфраструктуры с использованием микросервисной архитектуры,21013.66,100,5232.04
Построение DWH и витрин данных с использованием микросервисной архитектуры,38677.12,102,10947.18
Разработка решений на основе обработки естественного языка (NLP) для малого и среднего бизнеса,20478.17,190,11142.35
Разработка дашбордов и отчетов на основе анализа требований,4350.6,48,916.13
Проектирование UI для логистической компании,7515.04,46,2082.38
Прикладная статистика для бизнеса для внутреннего использования,7341.96,108,2195.91
Миграция в AWS для конечных пользователей,6835.47,180,2027.53
Разработка игр на Unity для стартапа,38764.22,287,11952.74
Проектирование и разработка NoSQL баз данных для финансового сектора,11423.96,69,4654.5
Разработка игр на Unreal Engine с использованием микросервисной архитектуры,28851.52,280,14820.24
Реинжиниринг бизнес-процессов с применением облачных технологий,3216.36,19,1240.58
Построение прогнозных моделей в сфере E-commerce,73583.15,454,40058.34
Разработка Firmware для микроконтроллеров в сфере E-commerce,17592.27,262,4001.39
Разработка децентрализованных приложений (DApps) для малого и среднего бизнеса,84561.93,109,35103.58
Базовая IT-поддержка пользователей для образовательной платформы,1908.3,22,588.4
Интеграция ERP с другими системами для финансового сектора,72692.98,473,25273.83
Аудит соответствия стандартам безопасности с использованием микросервисной архитектуры,10075.24,21,3734.81
Разработка бэкенда для управления IoT-устройствами с фокусом на безопасность,9011.06,398,2261.53
Разработка прошивок и ПО для IoT-устройств для стартапа,49623.44,204,19994.59
Внедрение алгоритмов распознавания образов для медицинской организации,13405.44,74,4027.21
Проектирование взаимодействия пользователя с использованием микросервисной архитектуры,1833.81,15,1039.9
Разработка Flutter приложения с нуля для конечных пользователей,31442.93,227,15851.95
Тестирование на проникновение для крупной корпорации,16731.06,81,1890.67
Разработка высокопроизводительного iOS приложения для малого и среднего бизнеса,42193.6,266,21858.37
Миграция данных в SQL базы на основе анализа требований,6243.76,144,765.93
Аудит соответствия стандартам безопасности с расширенным функционалом,7154.68,115,795.36
Разработка игр на Unity для внутреннего использования,25317.14,276,9316.13
Проведение ручного тестирования ПО с использованием микросервисной архитектуры,2302.29,41,453.93
Внедрение CRM-системы для медицинской организации,23151.05,123,11218.76
Обслуживание серверов и сетевого оборудования с расширенным функционалом,5823.63,42,2834.55
Проектирование UI для медицинской организации,4097.47,54,1772.01
Разработка высокопроизводительного Android приложения с фокусом на безопасность,44033.65,157,25511.47
Разработка решений на основе обработки естественного языка (NLP) с фокусом на безопасность,75578.64,331,18257.16
Frontend разработка для внутреннего использования,17047.79,241,4332.56
Backend разработка для медицинской организации,12219.03,60,1247.84
Предоставление выделенной команды разработчиков с расширенным функционалом,22239.26,75,7174.9
Проектирование и реализация RESTful/GraphQL API на основе анализа требований,33886.67,88,12442.53
Функциональное тестирование программных продуктов с фокусом на безопасность,3501.55,24,1820.48
Создание конвейеров обработки Big Data с учетом масштабируемости,44745.43,575,4598.37
Тестирование на проникновение для конечных пользователей,22358.89,103,8164.64
Внедрение BPM-систем в сфере E-commerce,20340.91,99,10360.79
Создание логики децентрализованных приложений на блокчейне для логистической компании,29806.0,398,15952.24
Создание интерфейсов взаимодействия для внутреннего использования,6220.13,155,2328.67
Внедрение 1C:ERP для финансового сектора,116640.56,376,58856.09
Backend разработка для образовательной платформы,29861.63,105,8930.13
Оценка уровня защищенности систем для образовательной платформы,18999.72,104,7685.86
Приемочное тестирование с использованием микросервисной архитектуры,5392.26,41,2359.07
Создание логики децентрализованных приложений на блокчейне с фокусом на безопасность,34663.84,267,16130.0
UX-исследование и проектирование на основе анализа требований,12297.29,18,4211.48
Тестирование на проникновение для логистической компании,34146.17,96,15322.2
Функциональное тестирование программных продуктов для стартапа,7287.98,49,1773.59
Настройка ETL-процессов для интеграции данных для финансового сектора,8835.21,196,3145.45
UX-исследование и проектирование для внутреннего использования,4037.78,60,1673.26
Внедрение автоматизированного тестирования ПО для крупной корпорации,14331.62,107,1668.44
Разработка пользовательского опыта (UX) для финансового сектора,11255.56,20,2739.75
Архитектура облачных решений на AWS с фокусом на безопасность,35115.24,40,19249.59
Разработка и аудит смарт-контрактов для крупной корпорации,60111.53,58,14667.69
Консультации по цифровой трансформации с расширенным функционалом,11009.89,30,1438.35
Разработка игр на Unreal Engine с учетом масштабируемости,8175.71,271,4345.65
Проведение статистического анализа данных для образовательной платформы,17090.55,66,3626.52
Разработка аналитических моделей для Big Data с фокусом на безопасность,65736.21,493,17567.64
Оптимизация IT-процессов с фокусом на безопасность,2501.73,32,339.83
Оказание технической поддержки первой линии для внутреннего использования,3008.54,30,1298.19
Реинжиниринг бизнес-процессов для стартапа,2625.1,58,1091.08
Разработка Flutter приложения с нуля с использованием микросервисной архитектуры,53876.27,353,25635.96
Проектирование и разработка SaaS решения для внутреннего использования,64413.29,88,22522.2
Операционный IT-консалтинг с учетом масштабируемости,7018.79,40,1261.11
Автоматизация DevOps процессов для логистической компании,10952.94,142,3705.48
Проведение аудита IT-безопасности с учетом масштабируемости,8727.25,25,1950.72
Построение прогнозных моделей для крупной корпорации,43070.65,468,12940.87
Построение хранилищ больших данных для медицинской организации,77964.01,498,23977.43
Реинжиниринг бизнес-процессов для логистической компании,3608.13,52,400.46
Проведение аналитики больших данных для логистической компании,60247.57,78,31609.67
Разработка прошивок и ПО для IoT-устройств для логистической компании,12955.95,245,2827.75
Разработка аналитических моделей для Big Data в сфере E-commerce,52347.62,332,29139.99
Внедрение алгоритмов распознавания образов для конечных пользователей,37973.08,103,18895.71
Разработка игр на Unity для финансового сектора,41335.78,219,6681.21
Аутсорсинг функций IT-менеджмента для стартапа,16008.79,34,5870.63
Предоставление выделенной команды разработчиков для внутреннего использования,29114.69,309,12581.53
Создание конвейеров обработки Big Data с расширенным функционалом,80775.07,135,26964.46
Настройка ETL-процессов для интеграции данных в сфере E-commerce,26415.53,58,10408.4
Создание iOS приложения под ключ с учетом масштабируемости,47385.75,357,10265.17
Создание конвейеров обработки Big Data для медицинской организации,78253.35,321,14134.51
Разработка игр на Unreal Engine для логистической компании,63944.23,523,9176.75
Создание мультиарендной SaaS платформы для медицинской организации,49118.91,267,24832.85
Разработка пайплайнов обработки данных для стартапа,22093.57,117,2784.97
Создание AAA-проектов на Unreal Engine для внутреннего использования,39315.86,172,22751.3
Fullstack разработка с расширенным функционалом,18757.34,164,7443.79
Внедрение CRM-системы в сфере E-commerce,58663.64,294,18187.99
Аутсорсинг разработки для логистической компании,47469.67,137,18208.9
Управление облачной инфраструктурой в AWS для конечных пользователей,21437.4,94,5829.71
Прикладная статистика для бизнеса с фокусом на безопасность,20014.25,90,3222.28
Оптимизация реляционных СУБД с применением облачных технологий,5900.63,45,1184.42
Разработка API с расширенным функционалом,37597.48,230,21746.57
Обслуживание серверов и сетевого оборудования для медицинской организации,6544.51,37,1530.56
Проектирование и разработка NoSQL баз данных для малого и среднего бизнеса,27637.58,145,6104.56
Разработка игр на Unity с расширенным функционалом,38991.82,224,19671.24
Стратегический IT-консалтинг с использованием микросервисной архитектуры,18902.17,52,3873.08
Настройка и адаптация корпоративной ERP для логистической компании,52540.94,557,21871.65
Разработка 2D/3D игр на Unity для образовательной платформы,61317.33,467,9727.02
Миграция в Azure с фокусом на безопасность,17546.57,151,6148.03
Управление облачной инфраструктурой в GCP с фокусом на безопасность,38767.24,78,7966.15
Внедрение 1C:ERP с фокусом на безопасность,53785.03,615,15159.46
Разработка нативного Android приложения на основе анализа требований,48653.41,356,8972.68
Разработка нативного iOS приложения на основе анализа требований,8516.07,343,3977.14
Разработка систем компьютерного зрения для малого и среднего бизнеса,35483.95,270,5039.66
Frontend разработка с фокусом на безопасность,22198.95,132,5758.04
Приемочное тестирование с применением облачных технологий,1845.22,29,343.92
Разработка высокопроизводительного Android приложения для крупной корпорации,57234.02,372,22446.49
Разработка пайплайнов обработки данных с применением облачных технологий,26847.74,77,15327.69
Разработка пользовательского интерфейса (UI) с расширенным функционалом,4107.77,51,2043.57
Разработка систем компьютерного зрения для образовательной платформы,46341.06,147,21777.72
Разработка высокопроизводительного Android приложения с расширенным функционалом,50323.17,178,27627.91
Разработка мобильного приложения на Flutter с использованием микросервисной архитектуры,45457.45,186,14283.39
Проектирование взаимодействия пользователя с фокусом на безопасность,10319.79,32,1040.0
Оптимизация реляционных СУБД с использованием микросервисной архитектуры,17079.65,148,3900.31
Проектирование и разработка SaaS решения для логистической компании,52317.48,554,11060.59
Оптимизация рабочих потоков для образовательной платформы,17515.23,73,7109.63
Автоматизация DevOps процессов для стартапа,13783.02,67,2411.96
Backend разработка с применением облачных технологий,27445.36,336,8862.42
Подбор IT-персонала для проекта для медицинской организации,48332.22,236,13868.38
Создание интернет-магазина с нуля с применением облачных технологий,75368.9,184,41660.35
Приемочное тестирование с учетом масштабируемости,8234.05,18,4721.77
Разработка React Native приложения с нуля с учетом масштабируемости,15882.17,283,4730.96
Разработка нативного iOS приложения с применением облачных технологий,63928.43,308,32545.02
Создание конвейеров обработки Big Data для стартапа,88669.45,416,22116.77
Построение хранилищ больших данных с фокусом на безопасность,80903.56,83,21145.99
Backend разработка для финансового сектора,20100.99,79,6905.4
Предоставление команды IT-специалистов для внутреннего использования,25374.81,211,10722.49
Разработка пайплайнов обработки данных для малого и среднего бизнеса,12303.94,114,5412.03
Создание iOS приложения под ключ для крупной корпорации,40490.28,326,21506.29
Создание нереляционных хранилищ данных с расширенным функционалом,11365.21,68,1960.68
Миграция в Azure с использованием микросервисной архитектуры,10802.36,147,4991.94
Разработка дашбордов и отчетов с использованием микросервисной архитектуры,17507.05,59,9609.51
Аутсорсинг функций IT-менеджмента для малого и среднего бизнеса,10799.53,152,3561.66
Разработка фронтенда и бэкенда для DApps с учетом масштабируемости,107154.5,240,17695.78
Миграция в Azure на основе анализа требований,9224.77,98,4367.76
Проведение аудита IT-безопасности с учетом масштабируемости,4593.49,99,2337.83
Построение прогнозных моделей для малого и среднего бизнеса,35391.46,356,18604.2
Стратегический IT-консалтинг в сфере E-commerce,4573.44,28,2065.8
Внедрение корпоративной аналитики с учетом масштабируемости,6773.19,20,969.04
Разработка пользовательского интерфейса (UI) с применением облачных технологий,2849.25,31,1023.17
Разработка пользовательского опыта (UX) с фокусом на безопасность,6178.77,72,3048.88
Настройка автоматизации развертывания для логистической компании,17247.58,87,6215.97
Автоматизация DevOps процессов для финансового сектора,19170.42,154,8202.53
Разработка React Native приложения с нуля для внутреннего использования,25581.14,258,6961.56
Экспертная IT-поддержка и решение инцидентов для малого и среднего бизнеса,4830.31,38,1053.62
Настройка и оптимизация AWS для крупной корпорации,20399.9,92,5151.3
Внедрение SAP S/4HANA для логистической компании,102481.89,262,12434.01
Разработка React Native приложения с нуля для финансового сектора,25833.81,100,8023.78
Разработка прошивок и ПО для IoT-устройств для медицинской организации,8681.94,346,3602.53
Создание чат-ботов и систем анализа текста с применением облачных технологий,16855.7,296,9451.94
Экспертная IT-поддержка и решение инцидентов для внутреннего использования,6817.45,35,3950.67
Обслуживание серверов и сетевого оборудования с учетом масштабируемости,2723.73,28,1009.82
Операционный IT-консалтинг на основе анализа требований,3066.91,38,1361.04
Прикладная статистика для бизнеса для стартапа,7166.86,61,1376.7
Внедрение автоматизированного тестирования ПО в сфере E-commerce,9324.81,64,4746.76
Миграция данных в SQL базы с применением облачных технологий,8267.58,32,4420.81
Базовая IT-поддержка пользователей для малого и среднего бизнеса,1866.13,15,468.79
Создание решений для анализа изображений и видео для стартапа,87681.78,260,48831.5
Предоставление выделенной команды разработчиков с учетом масштабируемости,32593.88,78,13841.94
Разработка стратегии автоматизации инфраструктуры с использованием микросервисной архитектуры,34068.57,134,16794.64
Внедрение ERP-системы в сфере E-commerce,54913.21,381,11729.36
Разработка Flutter приложения с нуля для малого и среднего бизнеса,12049.36,339,6975.16
Внедрение автоматизированного тестирования ПО с фокусом на безопасность,6675.99,54,3422.55
Автоматизация DevOps процессов на основе анализа требований,4077.95,51,2273.46
Оказание технической поддержки второй и третьей линии с применением облачных технологий,5209.61,30,2809.65
Миграция в AWS для внутреннего использования,19059.75,144,5054.26
Прикладная статистика для бизнеса с фокусом на безопасность,18211.54,135,5557.96
Построение DWH и витрин данных для малого и среднего бизнеса,11660.26,82,4315.01
Извлечение ценной информации из Big Data для логистической компании,49471.75,255,25678.01
Настройка межсетевых экранов и систем обнаружения вторжений для стартапа,17440.97,47,8335.02
Разработка игр на Unity с использованием микросервисной архитектуры,47793.06,478,11432.22
Внедрение Bitrix24 для внутреннего использования,9758.78,139,3028.71
Создание мультиарендной SaaS платформы для стартапа,65299.08,186,27763.89
Разработка игр на Unity для конечных пользователей,59137.5,247,22181.91
Создание кроссплатформенного приложения (Flutter) для конечных пользователей,13531.57,71,3892.02
Создание кроссплатформенного приложения (React Native) с использованием микросервисной архитектуры,17567.42,227,7642.21
Проектирование и разработка SaaS решения в сфере E-commerce,113983.45,280,24682.67
