Название услуги,Ориентировочная стоимость,Срок исполнения (дни),Размер предоплаты
Тестирование на проникновение с использованием микросервисной архитектуры,16658.29,26,3755.01
Проведение статистического анализа данных с фокусом на безопасность,9492.26,82,3297.61
Приемочное тестирование для образовательной платформы,5351.2,49,1293.97
Архитектура облачных решений на GCP для образовательной платформы,3929.75,176,985.22
Разработка серверной части веб-приложения на основе анализа требований,36783.62,55,12630.96
Внедрение 1C:ERP для крупной корпорации,98282.54,401,14472.21
Оптимизация реляционных СУБД для логистической компании,24574.89,80,11947.78
Разработка высокопроизводительного iOS приложения с расширенным функционалом,64193.2,260,9203.3
Оптимизация рабочих потоков для медицинской организации,9870.1,141,2327.58
Создание клиентской части веб-приложения для стартапа,20822.92,48,5666.5
Разработка децентрализованных приложений (DApps) с учетом масштабируемости,97886.87,231,16770.74
Создание решений для анализа изображений и видео для финансового сектора,85815.98,542,22334.6
Построение DWH и витрин данных для крупной корпорации,22316.14,67,2908.66
Автоматизация бизнес-процессов с расширенным функционалом,32919.71,232,13007.42
Разработка React Native приложения с нуля для малого и среднего бизнеса,56444.35,191,17589.25
Создание iOS приложения под ключ с фокусом на безопасность,26188.73,341,12461.65
Создание кроссплатформенного приложения (Flutter) с использованием микросервисной архитектуры,60724.95,149,31530.83
Создание интерфейсов взаимодействия для образовательной платформы,33385.08,33,7422.76
Создание AAA-проектов на Unreal Engine для логистической компании,54269.44,432,20367.69
Настройка и оптимизация GCP для малого и среднего бизнеса,29932.11,148,10664.0
Автоматизация регрессионного тестирования для конечных пользователей,18094.29,48,4827.29
Внедрение CRM-системы для медицинской организации,56408.07,150,6670.05
Прикладная статистика для бизнеса для финансового сектора,18075.05,72,5801.68
Построение прогнозных моделей на основе анализа требований,21038.51,194,9191.66
Управление облачной инфраструктурой в Azure в сфере E-commerce,4478.57,63,2403.35
Создание нереляционных хранилищ данных для логистической компании,4482.66,43,800.87
Проведение аналитики больших данных для конечных пользователей,29054.5,127,4374.8
Разработка высокопроизводительного iOS приложения для конечных пользователей,51184.08,229,6861.38
Разработка серверной части веб-приложения для логистической компании,28592.21,203,10273.32
Создание решений для анализа изображений и видео с использованием микросервисной архитектуры,37877.51,91,7855.05
Разработка пайплайнов обработки данных для финансового сектора,19816.8,232,4599.82
Разработка фронтенда и бэкенда для DApps с применением облачных технологий,23577.4,413,6827.54
Консультации по цифровой трансформации на основе анализа требований,7209.0,87,3563.46
Разработка решений на основе обработки естественного языка (NLP) с учетом масштабируемости,79171.59,408,17680.5
Разработка серверной части веб-приложения с использованием микросервисной архитектуры,8989.7,183,2673.37
Разработка высококачественной графики на Unreal Engine с расширенным функционалом,74591.68,278,42683.64
Fullstack разработка для логистической компании,59853.28,123,31968.38
Миграция в GCP в сфере E-commerce,8123.84,113,3245.72
Разработка тестовых сценариев и фреймворков для логистической компании,3134.57,41,1772.38
Оптимизация реляционных СУБД для медицинской организации,9097.98,75,3894.72
Внедрение CRM-системы с применением облачных технологий,57978.24,145,20530.54
Настройка и оптимизация Azure для внутреннего использования,5999.07,30,1590.31
Оказание технической поддержки первой линии в сфере E-commerce,2256.9,8,309.27
Разработка нативного Android приложения для логистической компании,56912.49,313,7496.97
Внедрение корпоративной аналитики для логистической компании,4501.55,94,951.48
Построение прогнозных моделей с расширенным функционалом,20319.78,282,11562.38
Разработка игр на Unreal Engine в сфере E-commerce,63584.29,149,22490.4
Создание мультиарендной SaaS платформы с применением облачных технологий,80774.09,507,10204.4
Разработка Firmware для микроконтроллеров с использованием микросервисной архитектуры,44445.95,154,25916.19
Проектирование и разработка NoSQL баз данных для стартапа,7744.69,192,1883.83
Разработка децентрализованных приложений (DApps) для внутреннего использования,65907.64,96,20990.16
Построение DWH и витрин данных с фокусом на безопасность,26420.06,114,12222.99
Настройка и оптимизация AWS для внутреннего использования,30919.86,57,8003.43
Разработка смарт-контрактов на Solidity для медицинской организации,30216.27,83,5007.52
Разработка решений на основе обработки естественного языка (NLP) на основе анализа требований,44303.54,358,20279.81
Построение прогнозных моделей с применением облачных технологий,19609.36,110,10778.17
Прикладная статистика для бизнеса с фокусом на безопасность,14944.96,68,3368.21
Оптимизация IT-процессов для логистической компании,9222.3,49,4772.14
Операционный IT-консалтинг для крупной корпорации,9550.04,29,4201.47
Создание фулстек решения с учетом масштабируемости,29832.65,329,12354.71
Разработка аналитических моделей для Big Data для стартапа,50695.67,117,9529.99
Разработка бэкенда для управления IoT-устройствами для крупной корпорации,32564.38,185,17638.22
Автоматизация регрессионного тестирования с применением облачных технологий,19669.68,104,10708.89
Проектирование взаимодействия пользователя для образовательной платформы,12708.01,81,4336.0
Внедрение AmoCRM для образовательной платформы,16353.89,192,2249.94
Разработка моделей классификации и регрессии для стартапа,13266.12,319,4591.05
Предоставление команды IT-специалистов для стартапа,39224.75,147,9515.85
Проведение статистического анализа данных с учетом масштабируемости,12111.1,35,1216.2
Управление облачной инфраструктурой в Azure для образовательной платформы,8720.73,105,4088.9
Внедрение SAP S/4HANA для медицинской организации,104899.7,205,38572.33
Обслуживание серверов и сетевого оборудования на основе анализа требований,5122.19,30,1256.12
Создание пользовательских интерфейсов для DApps для стартапа,72108.66,360,10461.65
Разработка бэкенда для управления IoT-устройствами с фокусом на безопасность,49325.33,156,24627.68
Разработка стратегии автоматизации инфраструктуры для медицинской организации,5547.26,157,2598.54
Настройка и адаптация корпоративной ERP в сфере E-commerce,72327.68,149,30575.05
Базовая IT-поддержка пользователей для внутреннего использования,1553.14,30,557.03
Автоматизация регрессионного тестирования для малого и среднего бизнеса,3746.51,94,518.44
Оказание технической поддержки второй и третьей линии для медицинской организации,3431.74,40,1803.74
Построение хранилищ больших данных для малого и среднего бизнеса,84494.61,328,20401.96
Создание решений для анализа изображений и видео с применением облачных технологий,20386.22,434,7110.96
Разработка пайплайнов обработки данных с фокусом на безопасность,29553.98,43,16017.65
Создание чат-ботов и систем анализа текста с расширенным функционалом,52758.97,383,9487.8
Разработка пользовательского опыта (UX) с учетом масштабируемости,13045.91,55,2234.82
Архитектура облачных решений на GCP для логистической компании,35084.65,85,9643.12
Создание фулстек решения с фокусом на безопасность,61528.39,99,22632.22
Fullstack разработка для образовательной платформы,56101.41,375,27543.46
Создание конвейеров обработки Big Data для стартапа,68921.5,350,10456.42
Разработка решений на основе обработки естественного языка (NLP) с расширенным функционалом,37064.53,185,6560.02
Миграция в AWS для малого и среднего бизнеса,4383.29,54,1269.6
Проведение аудита IT-безопасности в сфере E-commerce,19518.68,27,4736.87
Построение DWH и витрин данных с использованием микросервисной архитектуры,21041.2,70,5621.8
Предоставление выделенной команды разработчиков с использованием микросервисной архитектуры,7700.46,348,3285.78
Программирование встраиваемых систем для IoT для финансового сектора,28362.97,302,11562.88
Создание ML-решений для предсказаний для образовательной платформы,39744.06,140,22901.03
Управление облачной инфраструктурой в GCP в сфере E-commerce,27265.46,152,13623.31
Аутсорсинг функций IT-менеджмента для стартапа,14344.03,178,1938.61
Разработка пайплайнов обработки данных с учетом масштабируемости,22626.38,83,4720.95
Построение системы управления проектами для финансового сектора,15835.13,164,3899.83
Проведение аудита IT-безопасности на основе анализа требований,9051.78,76,1240.23
Создание клиентской части веб-приложения для финансового сектора,28019.24,278,12042.7
Анализ и интерпретация данных для принятия решений с учетом масштабируемости,24935.75,134,6222.73
Разработка серверной части для IoT-решений с расширенным функционалом,39229.03,326,10175.74
Базовая IT-поддержка пользователей для образовательной платформы,3873.22,15,1539.3
Проектирование взаимодействия пользователя с фокусом на безопасность,5237.14,73,1525.16
Разработка игр на Unity с учетом масштабируемости,49507.48,229,6024.27
Разработка API с фокусом на безопасность,34779.47,283,3799.25
Разработка API для интеграции систем в сфере E-commerce,34486.58,163,5439.86
Управление IT-проектами по методологиям Agile/Waterfall для конечных пользователей,24789.77,41,12453.03
Оценка уровня защищенности систем для финансового сектора,18447.21,122,7108.66
Проектирование и разработка SaaS решения для медицинской организации,43748.18,305,4508.71
Миграция данных в SQL базы для стартапа,12748.81,88,3200.94
Разработка фронтенда и бэкенда для DApps для малого и среднего бизнеса,50847.32,61,5725.27
Разработка бэкенда для управления IoT-устройствами с расширенным функционалом,52808.33,227,22950.09
Автоматизация бизнес-процессов с применением облачных технологий,44467.26,255,26549.93
Реинжиниринг бизнес-процессов для малого и среднего бизнеса,5770.36,27,2239.49
Создание мультиарендной SaaS платформы для логистической компании,27435.37,258,9130.83
Аутсорсинг функций IT-менеджмента с использованием микросервисной архитектуры,5358.31,98,665.22
Настройка автоматизации развертывания для образовательной платформы,23863.51,94,11567.17
Миграция данных в SQL базы для внутреннего использования,16513.73,132,8989.86
Внедрение алгоритмов распознавания образов для малого и среднего бизнеса,45527.71,499,11405.82
Извлечение ценной информации из Big Data для малого и среднего бизнеса,26378.28,471,4402.33
Оценка уровня защищенности систем в сфере E-commerce,5837.84,146,3470.04
Внедрение корпоративной аналитики в сфере E-commerce,11199.21,43,6653.36
Построение DWH и витрин данных для медицинской организации,37068.69,145,4381.65
Создание кроссплатформенного приложения (React Native) для стартапа,43105.36,401,8308.43
Реинжиниринг бизнес-процессов с учетом масштабируемости,8627.37,25,2816.54
Экспертная IT-поддержка и решение инцидентов для внутреннего использования,7304.26,45,1980.02
Разработка облачного SaaS продукта с учетом масштабируемости,34866.55,416,8383.21
Разработка децентрализованных приложений (DApps) для медицинской организации,21385.55,259,11616.37
Оказание технической поддержки первой линии для логистической компании,3075.77,14,799.03
Разработка нативного iOS приложения для внутреннего использования,43176.85,172,12883.04
Разработка смарт-контрактов на Solidity с учетом масштабируемости,94287.49,136,45861.78
Оказание технической поддержки второй и третьей линии для внутреннего использования,2078.76,44,827.94
Разработка высокопроизводительного Android приложения для образовательной платформы,59748.23,286,12530.53
Извлечение ценной информации из Big Data для образовательной платформы,60758.11,70,25674.42
Внедрение ERP-системы для малого и среднего бизнеса,29775.06,311,7106.25
Backend разработка для малого и среднего бизнеса,27659.94,71,12299.39
Разработка высокопроизводительного iOS приложения для крупной корпорации,32448.95,237,18738.15
Backend разработка для финансового сектора,22544.3,203,6198.7
Разработка пользовательского интерфейса для малого и среднего бизнеса,6147.29,246,2665.55
Создание кроссплатформенного приложения (Flutter) для малого и среднего бизнеса,43466.87,412,7393.22
Построение хранилищ больших данных для стартапа,81660.78,85,9937.28
Разработка пользовательского опыта (UX) с расширенным функционалом,11914.83,87,1649.24
Разработка пользовательского опыта (UX) для внутреннего использования,13762.32,90,7969.79
Разработка API для интеграции систем с применением облачных технологий,11814.71,103,5417.56
Построение системы управления проектами в сфере E-commerce,14193.38,152,2201.35
Стратегический IT-консалтинг для малого и среднего бизнеса,8255.31,46,1314.0
Разработка игр на Unreal Engine для образовательной платформы,47228.04,70,12609.4
Внедрение 1C:ERP для образовательной платформы,86298.92,337,33333.86
Настройка и оптимизация GCP в сфере E-commerce,34719.14,36,19685.68
Извлечение ценной информации из Big Data на основе анализа требований,13622.27,264,6264.26
Разработка игр на Unreal Engine для малого и среднего бизнеса,21419.63,504,5662.08
Проведение аналитики больших данных в сфере E-commerce,15552.99,298,2443.95
Проектирование и разработка SaaS решения для стартапа,97624.65,634,43436.6
Разработка дашбордов и отчетов для крупной корпорации,5346.21,69,1534.29
Внедрение алгоритмов распознавания образов с учетом масштабируемости,14840.49,532,3767.78
Развертывание решений по киберзащите на основе анализа требований,21176.63,190,8675.83
Программирование встраиваемых систем для IoT с расширенным функционалом,15209.77,112,7168.14
Проектирование и разработка веб-платформы для конечных пользователей,47249.2,98,16319.75
Построение прогнозных моделей с фокусом на безопасность,70927.48,333,33553.71
Обслуживание серверов и сетевого оборудования для логистической компании,1250.77,16,475.52
Разработка нативного iOS приложения для образовательной платформы,15322.78,391,6632.87
Разработка децентрализованных приложений (DApps) для логистической компании,51823.59,110,5932.59
Консультации по цифровой трансформации с использованием микросервисной архитектуры,19467.96,113,9376.6
Внедрение комплексных систем безопасности для логистической компании,21675.7,195,6736.88
Архитектура облачных решений на AWS с расширенным функционалом,23575.46,131,4617.89
Создание кроссплатформенного приложения (React Native) для финансового сектора,50970.31,101,14044.39
Анализ и интерпретация данных для принятия решений на основе анализа требований,16026.87,50,6050.65
Автоматизация бизнес-процессов для внутреннего использования,44194.79,111,5093.01
Внедрение BPM-систем с фокусом на безопасность,23320.85,148,13981.2
Внедрение автоматизированного тестирования ПО с расширенным функционалом,4608.96,111,2581.29
Разработка пользовательского интерфейса для логистической компании,3225.08,138,771.32
Разработка стратегии автоматизации инфраструктуры для крупной корпорации,10148.98,41,4205.01
Разработка высокопроизводительного iOS приложения для логистической компании,42530.96,276,21766.26
Разработка бэкенда для управления IoT-устройствами для логистической компании,45439.67,262,24177.22
Создание мультиарендной SaaS платформы для медицинской организации,68195.31,184,38800.25
Разработка аналитических моделей для Big Data на основе анализа требований,23288.82,310,11106.05
Построение системы управления проектами на основе анализа требований,18947.4,172,3183.63
Автоматизация DevOps процессов для малого и среднего бизнеса,28339.04,175,9523.98
Разработка игр на Unreal Engine для малого и среднего бизнеса,40528.67,546,10495.14
Проведение ручного тестирования ПО для внутреннего использования,2950.56,31,538.49
Построение системы управления проектами для финансового сектора,18315.49,66,8763.39
Архитектура облачных решений на AWS с расширенным функционалом,11311.42,183,3338.07
Настройка ETL-процессов для интеграции данных для малого и среднего бизнеса,22566.91,65,12976.02
Разработка решений на основе обработки естественного языка (NLP) с применением облачных технологий,57663.61,462,7814.94
Проектирование и разработка SaaS решения для логистической компании,76847.52,313,39134.96
Разработка масштабируемой E-commerce платформы для малого и среднего бизнеса,75096.82,521,23139.7
Функциональное тестирование программных продуктов для образовательной платформы,7168.44,18,3124.69
Аутсорсинг разработки для финансового сектора,27341.19,167,10790.48
Операционный IT-консалтинг с фокусом на безопасность,8760.98,33,1502.88
Создание логики децентрализованных приложений на блокчейне с применением облачных технологий,71641.16,129,20537.03
Создание конвейеров обработки Big Data с фокусом на безопасность,74904.51,416,38948.15
Разработка пользовательского опыта (UX) с учетом масштабируемости,14343.84,22,5349.22
Создание мультиарендной SaaS платформы для конечных пользователей,62127.18,130,35330.12
Fullstack разработка для конечных пользователей,36517.82,266,5551.53
Построение DWH и витрин данных для внутреннего использования,27883.81,60,14181.67
Разработка веб-приложения полного цикла для медицинской организации,39403.62,286,10983.97
Создание Android приложения под ключ в сфере E-commerce,25194.11,210,11360.23
Разработка тестовых сценариев и фреймворков для логистической компании,18589.32,30,9115.41
Разработка IT-стратегии с расширенным функционалом,2648.9,48,604.14
Разработка Firmware для микроконтроллеров для конечных пользователей,38218.63,98,19970.86
Создание дизайна интерфейсов для финансового сектора,6224.21,59,2470.72
Операционный IT-консалтинг для медицинской организации,6761.61,19,1086.52
Разработка фронтенда и бэкенда для DApps с использованием микросервисной архитектуры,66463.88,249,23031.41
Масштабирование NoSQL баз данных для финансового сектора,16515.21,162,4495.21
Проектирование UI с учетом масштабируемости,4142.29,36,750.57
Разработка мобильного приложения на Flutter для образовательной платформы,22808.79,159,6156.79
Разработка и аудит смарт-контрактов для логистической компании,46682.66,268,12781.37
Оптимизация рабочих потоков для крупной корпорации,29980.98,232,12907.61
Управление облачной инфраструктурой в Azure с расширенным функционалом,29698.61,152,3948.46
Настройка и оптимизация Azure с расширенным функционалом,19494.6,71,10974.62
Разработка мобильного приложения на React Native для внутреннего использования,68390.86,143,34640.21
Разработка облачного SaaS продукта для конечных пользователей,86063.19,379,10117.76
Программирование встраиваемых систем для IoT с расширенным функционалом,28741.03,292,4072.78
Создание бэкенда для логистической компании,26014.41,248,7031.59
Внедрение корпоративной аналитики с учетом масштабируемости,10508.66,90,2672.07
Создание облачной платформы для IoT для стартапа,8656.2,51,4674.35
Развертывание решений по киберзащите для медицинской организации,13043.82,36,4624.15
Разработка 2D/3D игр на Unity с фокусом на безопасность,52008.41,406,17477.49
Разработка инфраструктуры для Big Data на основе анализа требований,113632.39,349,26708.88
Построение системы управления проектами с учетом масштабируемости,7876.26,112,3509.03
Оценка зрелости IT-инфраструктуры для медицинской организации,16196.61,49,8037.61
Разработка нативного iOS приложения в сфере E-commerce,54102.17,183,11193.53
Управление облачной инфраструктурой в AWS в сфере E-commerce,30965.7,74,11276.88
Оценка зрелости IT-инфраструктуры с учетом масштабируемости,2437.07,117,253.86
Развертывание решений по киберзащите для медицинской организации,12827.66,119,1823.27
Разработка Flutter приложения с нуля с применением облачных технологий,10283.88,329,3434.88
Создание клиентской части веб-приложения с фокусом на безопасность,20845.28,60,11046.02
Backend разработка для конечных пользователей,11087.58,196,4008.57
Предоставление команды IT-специалистов на основе анализа требований,27643.27,53,16505.29
Разработка высококачественной графики на Unreal Engine для внутреннего использования,35882.63,570,21503.81
Создание решений для анализа изображений и видео для крупной корпорации,84904.07,289,40008.38
Аутсорсинг разработки для крупной корпорации,33173.64,191,6416.45
Разработка Flutter приложения с нуля для стартапа,67281.84,374,33910.03
Управление облачной инфраструктурой в AWS с учетом масштабируемости,27565.26,115,7243.67
Разработка масштабируемой E-commerce платформы для конечных пользователей,83121.85,209,9297.85
Оценка уровня защищенности систем с фокусом на безопасность,16620.59,72,2890.28
Разработка API для интеграции систем с фокусом на безопасность,16574.49,132,8869.53
Разработка высокопроизводительного Android приложения для финансового сектора,22407.68,95,10070.44
Оценка уровня защищенности систем для конечных пользователей,16743.15,116,8913.02
Разработка бэкенда для управления IoT-устройствами с учетом масштабируемости,11329.84,222,5131.58
Реинжиниринг бизнес-процессов для образовательной платформы,1185.31,10,680.24
Создание нереляционных хранилищ данных для внутреннего использования,13077.07,115,4619.2
Разработка решений на основе обработки естественного языка (NLP) для стартапа,83005.17,310,12017.05
Разработка аналитических моделей для Big Data для внутреннего использования,17269.05,105,1751.28
Экспертная IT-поддержка и решение инцидентов для малого и среднего бизнеса,2629.95,20,843.12
Экспертная IT-поддержка и решение инцидентов для внутреннего использования,1284.84,8,407.4
Создание AAA-проектов на Unreal Engine для стартапа,49284.55,145,21284.16
Анализ и интерпретация данных для принятия решений для образовательной платформы,24974.02,102,8858.87
Настройка и оптимизация AWS с применением облачных технологий,14054.3,48,5208.08
Создание интерфейсов взаимодействия для малого и среднего бизнеса,18759.33,159,7804.15
Консультации по цифровой трансформации с использованием микросервисной архитектуры,12824.85,105,2753.23
Создание интерфейсов взаимодействия для малого и среднего бизнеса,5833.48,210,2883.3
Разработка мобильного приложения на Flutter с применением облачных технологий,8824.47,139,4293.29
Создание iOS приложения под ключ с применением облачных технологий,45942.33,177,11234.97
Проведение аудита IT-безопасности с расширенным функционалом,13208.5,129,4286.25
Разработка инфраструктуры для Big Data с расширенным функционалом,30233.7,507,5160.73
Разработка нативного iOS приложения для стартапа,32460.86,156,4789.82
Разработка маркетплейса для образовательной платформы,49036.4,184,26960.34
Проведение пенетрационного тестирования (пентеста) для крупной корпорации,19487.98,102,11184.75
Проектирование и реализация RESTful/GraphQL API с учетом масштабируемости,24177.43,62,11290.44
Создание интерфейсов взаимодействия для логистической компании,11833.93,174,4129.94
Построение системы управления проектами для образовательной платформы,17786.59,124,7532.38
Backend разработка для логистической компании,14070.47,294,2589.97
Разработка систем компьютерного зрения для финансового сектора,42698.41,377,13314.27
Разработка React Native приложения с нуля в сфере E-commerce,68632.08,293,13248.7
Разработка смарт-контрактов на Solidity с использованием микросервисной архитектуры,15305.23,354,5123.37
Настройка и оптимизация AWS для образовательной платформы,25724.86,94,10141.03
Оказание технической поддержки второй и третьей линии на основе анализа требований,5050.66,34,2800.52
Анализ уязвимостей веб-приложений для медицинской организации,6782.88,69,1417.15
Разработка облачного SaaS продукта для образовательной платформы,54798.8,525,16493.55
Проведение пенетрационного тестирования (пентеста) с использованием микросервисной архитектуры,26541.8,108,8744.01
Автоматизация регрессионного тестирования для конечных пользователей,5950.23,91,1963.69
Консультации по цифровой трансформации с использованием микросервисной архитектуры,18051.76,74,9238.89
Проектирование взаимодействия пользователя на основе анализа требований,11656.81,72,6264.85
Создание дизайна интерфейсов с использованием микросервисной архитектуры,8552.55,56,2367.81
Разработка фронтенда и бэкенда для DApps для малого и среднего бизнеса,85781.88,365,39730.05
Проектирование и разработка NoSQL баз данных с фокусом на безопасность,21513.91,70,10732.92
Проведение аналитики больших данных для медицинской организации,48164.42,132,20632.69
Стратегический IT-консалтинг для логистической компании,19445.75,113,3442.86
Разработка мобильного приложения на Flutter для логистической компании,27669.47,264,16117.74
Внедрение алгоритмов распознавания образов с использованием микросервисной архитектуры,27269.34,172,14698.2
Построение BI-систем и аналитики на основе анализа требований,8149.07,58,2450.39
Миграция в AWS с применением облачных технологий,7568.73,29,3879.18
Создание кроссплатформенного приложения (React Native) с учетом масштабируемости,9650.24,271,5789.81
Разработка моделей классификации и регрессии для логистической компании,70787.22,229,12134.97
Подбор IT-персонала для проекта с использованием микросервисной архитектуры,29086.65,280,16182.05
Создание AAA-проектов на Unreal Engine с использованием микросервисной архитектуры,52465.55,161,16188.9
Создание фулстек решения для внутреннего использования,18815.73,130,3196.76
Проектирование взаимодействия пользователя для малого и среднего бизнеса,6843.55,16,2136.76
Разработка мобильного приложения на Flutter с фокусом на безопасность,25462.33,369,10923.28
Разработка Flutter приложения с нуля для стартапа,28654.68,326,9651.43
Создание интерактивных приложений на Unity с применением облачных технологий,42397.84,123,15813.09
Интеграция ERP с другими системами для стартапа,64313.49,220,35698.23
Создание конвейеров обработки Big Data для стартапа,102681.01,330,43341.15
Операционный IT-консалтинг для медицинской организации,5943.66,51,3216.98
Тестирование на проникновение в сфере E-commerce,26163.78,35,13398.88
Создание фулстек решения для крупной корпорации,49116.48,286,6927.02
Разработка 2D/3D игр на Unity в сфере E-commerce,31949.47,438,14708.62
Создание дизайна интерфейсов для конечных пользователей,2984.82,25,341.05
Оценка зрелости IT-инфраструктуры с расширенным функционалом,7850.48,25,3465.0
Настройка и оптимизация AWS для стартапа,21863.58,59,11267.75
Разработка моделей классификации и регрессии для финансового сектора,73012.48,419,25216.28
Оказание технической поддержки первой линии в сфере E-commerce,2327.1,18,907.23
Интеграция CRM с маркетинговыми инструментами для логистической компании,53634.5,259,26492.32
Внедрение комплексных систем безопасности для стартапа,20490.28,98,6929.66
Внедрение AmoCRM для логистической компании,37925.57,125,8330.77
Разработка пользовательского опыта (UX) с учетом масштабируемости,13553.26,23,7255.58
Разработка API для интеграции систем для конечных пользователей,30511.67,47,3094.93
Автоматизация DevOps процессов для малого и среднего бизнеса,31142.95,115,10676.71
Миграция в GCP с применением облачных технологий,19003.27,126,6470.87
Разработка масштабируемой E-commerce платформы для внутреннего использования,61847.79,331,11978.02
Миграция данных в SQL базы с использованием микросервисной архитектуры,9879.3,174,1438.08
Интеграция ERP с другими системами с фокусом на безопасность,28819.7,326,4557.67
Разработка мобильного приложения на Flutter в сфере E-commerce,33594.76,82,16724.01
Проведение аналитики больших данных для внутреннего использования,72798.66,446,13610.81
Создание нереляционных хранилищ данных с фокусом на безопасность,24697.26,121,9508.52
Архитектура облачных решений на AWS с использованием микросервисной архитектуры,10083.52,44,2309.46
Построение DWH и витрин данных с использованием микросервисной архитектуры,13577.7,50,4729.35
Fullstack разработка с расширенным функционалом,42308.58,163,13968.09
Операционный IT-консалтинг на основе анализа требований,6176.52,31,3019.68
Разработка фронтенда и бэкенда для DApps для конечных пользователей,66599.48,306,38402.7
Внедрение 1C:ERP с использованием микросервисной архитектуры,147690.41,217,77212.95
