Название услуги,Ориентировочная стоимость,Срок исполнения (дни),Размер предоплаты
Разработка пользовательского опыта (UX) для внутреннего использования,11743.59,52,3515.33
Автоматизация DevOps процессов для крупной корпорации,28660.44,48,11375.99
Настройка ETL-процессов для интеграции данных с фокусом на безопасность,10016.2,106,1138.03
Оптимизация реляционных СУБД для малого и среднего бизнеса,20756.21,50,3023.34
Архитектура облачных решений на AWS для малого и среднего бизнеса,27585.0,89,8647.07
Операционный IT-консалтинг для финансового сектора,4429.55,58,1835.35
Настройка ETL-процессов для интеграции данных для финансового сектора,5114.2,135,1711.52
Разработка API на основе анализа требований,9746.47,243,1508.87
Миграция в GCP с использованием микросервисной архитектуры,7989.55,44,3508.65
Проектирование и разработка SQL баз данных для внутреннего использования,9194.12,46,4924.88
Разработка B2B/B2C E-commerce решения для малого и среднего бизнеса,74858.38,486,22612.55
Настройка и оптимизация Azure для малого и среднего бизнеса,28396.35,160,5276.41
Проведение аудита IT-безопасности с применением облачных технологий,11000.28,52,6274.32
Создание конвейеров обработки Big Data для стартапа,51500.44,482,9740.67
Разработка пайплайнов обработки данных с применением облачных технологий,30724.98,87,14629.9
Построение DWH и витрин данных для логистической компании,12973.17,155,6854.3
Масштабирование NoSQL баз данных с применением облачных технологий,23838.76,68,5735.63
Создание пользовательских интерфейсов для DApps для стартапа,44470.51,333,19313.2
Оптимизация реляционных СУБД для медицинской организации,18420.33,135,6168.91
Создание iOS приложения под ключ для финансового сектора,60065.57,99,9044.16
Внедрение комплексных систем безопасности для медицинской организации,17726.91,53,7066.9
Создание AAA-проектов на Unreal Engine для финансового сектора,28137.86,189,5818.51
Аутсорсинг функций IT-менеджмента с использованием микросервисной архитектуры,22995.07,85,13324.43
Прикладная статистика для бизнеса с фокусом на безопасность,8807.55,101,1331.27
Миграция данных в SQL базы для финансового сектора,22620.61,63,13225.93
Создание AAA-проектов на Unreal Engine с применением облачных технологий,24034.67,151,10293.88
Проектирование UI с расширенным функционалом,7519.77,32,2093.52
Экспертная IT-поддержка и решение инцидентов с применением облачных технологий,5552.38,38,1676.24
Разработка смарт-контрактов на Solidity в сфере E-commerce,17042.6,90,7684.29
Разработка тестовых сценариев и фреймворков с использованием микросервисной архитектуры,10580.98,68,1129.62
Базовая IT-поддержка пользователей для конечных пользователей,2348.89,18,896.4
Создание нереляционных хранилищ данных для внутреннего использования,26972.68,33,6922.7
Создание ML-решений для предсказаний для стартапа,48799.09,298,21402.86
UX-исследование и проектирование для малого и среднего бизнеса,1595.63,86,255.07
Проведение аудита IT-безопасности для образовательной платформы,8396.59,40,3738.28
Построение прогнозных моделей с применением облачных технологий,11818.94,232,2232.63
Управление облачной инфраструктурой в Azure для внутреннего использования,10854.83,117,1304.88
Построение прогнозных моделей с фокусом на безопасность,24174.16,408,6033.03
Настройка и оптимизация Azure с применением облачных технологий,17810.29,187,3105.17
Проектирование UI с расширенным функционалом,1434.3,50,416.16
Внедрение комплексных систем безопасности для финансового сектора,18873.74,45,4848.52
Оценка зрелости IT-инфраструктуры для внутреннего использования,11186.8,38,2272.69
Функциональное тестирование программных продуктов для финансового сектора,3875.38,11,1959.22
Миграция в Azure для крупной корпорации,17267.19,32,5789.81
Оптимизация рабочих потоков для конечных пользователей,20732.01,152,4172.2
Внедрение корпоративной аналитики с расширенным функционалом,12830.54,26,6531.5
Архитектура облачных решений на Azure для логистической компании,10802.71,84,5362.03
Настройка и оптимизация Azure с применением облачных технологий,37446.5,152,6182.73
Масштабирование NoSQL баз данных с использованием микросервисной архитектуры,21328.69,178,2700.78
Извлечение ценной информации из Big Data для внутреннего использования,57603.47,60,10984.6
Разработка дашбордов и отчетов в сфере E-commerce,7055.19,28,3125.64
Настройка и оптимизация GCP для малого и среднего бизнеса,16071.36,90,7488.38
Анализ уязвимостей веб-приложений с использованием микросервисной архитектуры,5543.5,138,2252.34
Разработка Firmware для микроконтроллеров для малого и среднего бизнеса,30503.32,261,5835.23
Разработка B2B/B2C E-commerce решения для логистической компании,18944.05,536,6558.8
Подбор IT-персонала для проекта на основе анализа требований,15854.84,335,9461.55
Прикладная статистика для бизнеса с расширенным функционалом,8897.85,110,4404.41
Разработка аналитических моделей для Big Data для конечных пользователей,64413.18,320,24633.29
Проектирование и разработка веб-платформы для логистической компании,26601.27,198,13286.05
Настройка и адаптация корпоративной ERP для образовательной платформы,65941.13,452,11728.53
Разработка инфраструктуры для Big Data для образовательной платформы,48324.23,170,7072.39
Разработка пользовательского опыта (UX) для конечных пользователей,4834.18,65,541.76
Управление облачной инфраструктурой в AWS для конечных пользователей,8182.1,101,3590.02
Управление облачной инфраструктурой в AWS для медицинской организации,11598.58,57,2580.41
Внедрение AmoCRM с применением облачных технологий,44044.63,45,16233.7
Управление облачной инфраструктурой в Azure для крупной корпорации,38344.19,134,9607.16
Разработка решений на основе обработки естественного языка (NLP) для внутреннего использования,60173.5,495,20850.11
Внедрение CRM-системы для малого и среднего бизнеса,14918.06,161,4154.99
Проектирование и разработка SQL баз данных для логистической компании,13054.82,174,4799.85
Настройка и оптимизация Azure для финансового сектора,18801.98,171,2238.15
Оказание технической поддержки первой линии для образовательной платформы,2960.75,12,893.68
Разработка масштабируемой E-commerce платформы для крупной корпорации,65029.59,574,31951.92
Создание кроссплатформенного приложения (Flutter) для медицинской организации,16141.27,225,3448.72
Стратегический IT-консалтинг для финансового сектора,7903.93,85,835.36
Аутсорсинг функций IT-менеджмента для финансового сектора,5026.24,62,2174.15
Разработка sentiment analysis моделей для внутреннего использования,53171.11,342,24670.32
Оценка уровня защищенности систем для крупной корпорации,9659.17,39,4813.59
Проектирование взаимодействия пользователя для стартапа,6643.76,72,982.48
Внедрение алгоритмов распознавания образов для логистической компании,14233.18,528,2848.18
Автоматизация регрессионного тестирования на основе анализа требований,6526.53,70,2545.97
Создание дизайна интерфейсов для медицинской организации,9342.14,38,1740.41
Внедрение автоматизированного тестирования ПО на основе анализа требований,12898.74,94,2880.49
Разработка нативного Android приложения для внутреннего использования,36054.19,139,18750.98
Проведение статистического анализа данных для финансового сектора,16097.62,59,7432.37
Проектирование и разработка SQL баз данных на основе анализа требований,29649.17,45,4268.76
Разработка дашбордов и отчетов на основе анализа требований,6655.13,92,782.56
Подбор IT-персонала для проекта для стартапа,33744.94,48,12731.96
Операционный IT-консалтинг в сфере E-commerce,9525.3,38,2268.72
Создание решений для анализа изображений и видео для внутреннего использования,50676.51,517,19130.13
Разработка пайплайнов обработки данных с расширенным функционалом,38966.06,53,8241.79
Предоставление команды IT-специалистов для крупной корпорации,13382.69,130,2317.34
Разработка децентрализованных приложений (DApps) с применением облачных технологий,20838.06,221,2514.4
Оценка уровня защищенности систем для медицинской организации,19187.46,138,2601.72
Автоматизация DevOps процессов с учетом масштабируемости,15620.23,40,2965.92
Создание интернет-магазина с нуля для конечных пользователей,72022.96,274,9188.85
Разработка нативного iOS приложения для крупной корпорации,27125.13,157,13145.43
Разработка нативного Android приложения для образовательной платформы,37048.58,134,21381.83
Разработка бэкенда для управления IoT-устройствами для стартапа,50500.02,386,9282.31
Архитектура облачных решений на AWS для внутреннего использования,25698.63,188,10831.05
Разработка пайплайнов обработки данных с использованием микросервисной архитектуры,22207.27,93,8064.99
Backend разработка в сфере E-commerce,30525.64,60,7673.77
Разработка бэкенда для управления IoT-устройствами для логистической компании,35749.05,91,20856.54
Тестирование на проникновение с учетом масштабируемости,24874.29,30,14173.32
Интеграция CRM с маркетинговыми инструментами с фокусом на безопасность,54771.32,56,10750.81
Подбор IT-персонала для проекта на основе анализа требований,16484.28,186,8633.57
Backend разработка для финансового сектора,15339.32,298,8440.21
Настройка межсетевых экранов и систем обнаружения вторжений в сфере E-commerce,13712.26,65,3907.27
Разработка дашбордов и отчетов с учетом масштабируемости,13298.35,76,6171.44
Миграция в Azure с применением облачных технологий,28486.96,117,10101.31
Разработка инфраструктуры для Big Data для логистической компании,47910.52,90,21957.6
Настройка и оптимизация AWS для внутреннего использования,12544.98,129,2751.43
Экспертная IT-поддержка и решение инцидентов в сфере E-commerce,7028.74,19,1950.04
Разработка моделей классификации и регрессии с расширенным функционалом,22872.76,94,13432.7
Оказание технической поддержки второй и третьей линии для стартапа,1286.54,37,332.84
Внедрение алгоритмов распознавания образов с фокусом на безопасность,39118.88,398,17550.77
Проведение статистического анализа данных для финансового сектора,13470.95,53,2061.62
Разработка мобильного приложения на React Native для конечных пользователей,9119.05,371,4177.7
Разработка инфраструктуры для Big Data для стартапа,107530.64,426,44519.05
Аутсорсинг разработки для образовательной платформы,31818.48,228,3283.2
Разработка пользовательского интерфейса с расширенным функционалом,14729.41,200,3978.11
Разработка систем компьютерного зрения с расширенным функционалом,28765.43,72,8953.89
Проведение аналитики больших данных с расширенным функционалом,30827.83,313,9392.96
Аудит соответствия стандартам безопасности для конечных пользователей,16945.64,20,3312.11
Проектирование и реализация RESTful/GraphQL API с использованием микросервисной архитектуры,13830.52,132,8179.62
Разработка нативного iOS приложения для крупной корпорации,58473.11,88,20044.79
Создание кроссплатформенного приложения (React Native) для стартапа,24357.64,321,9614.73
Оптимизация рабочих потоков с расширенным функционалом,7900.88,267,1399.12
Аудит соответствия стандартам безопасности с использованием микросервисной архитектуры,14777.9,92,1842.47
Автоматизация DevOps процессов для крупной корпорации,33707.03,53,11742.13
Разработка серверной части для IoT-решений на основе анализа требований,55310.58,80,6859.61
Оказание технической поддержки первой линии с использованием микросервисной архитектуры,856.99,27,350.11
Разработка серверной части для IoT-решений в сфере E-commerce,17544.7,258,9827.46
Разработка облачного SaaS продукта на основе анализа требований,88230.75,557,41392.84
Создание AAA-проектов на Unreal Engine для конечных пользователей,59175.45,563,29133.0
Разработка прошивок и ПО для IoT-устройств на основе анализа требований,7408.75,148,3822.21
Автоматизация бизнес-процессов для логистической компании,35121.09,243,12046.95
Подбор IT-персонала для проекта в сфере E-commerce,19631.15,362,10414.59
Построение системы управления проектами с фокусом на безопасность,22117.17,46,10093.22
Управление IT-проектами по методологиям Agile/Waterfall для медицинской организации,8945.24,123,2743.44
Стратегический IT-консалтинг для образовательной платформы,2433.93,68,373.14
Программирование встраиваемых систем для IoT на основе анализа требований,30808.62,261,13700.81
Разработка API для интеграции систем в сфере E-commerce,6602.42,37,2162.49
Аутсорсинг функций IT-менеджмента для образовательной платформы,12794.52,41,3688.76
Разработка мобильного приложения на React Native с расширенным функционалом,55670.31,187,11916.85
Разработка бэкенда для управления IoT-устройствами для медицинской организации,28591.31,225,13758.81
Аудит соответствия стандартам безопасности для внутреннего использования,6886.47,61,3336.68
Анализ уязвимостей веб-приложений для крупной корпорации,15036.48,114,6912.22
Настройка и адаптация CRM для отдела продаж для образовательной платформы,28724.24,137,8118.22
Создание конвейеров обработки Big Data для финансового сектора,51288.56,182,18121.44
Создание iOS приложения под ключ с использованием микросервисной архитектуры,30451.75,150,3912.81
Создание клиентской части веб-приложения для медицинской организации,18860.82,139,5072.41
Анализ уязвимостей веб-приложений для стартапа,24275.98,32,5303.28
Консультации по цифровой трансформации для логистической компании,5588.0,95,1608.77
Настройка межсетевых экранов и систем обнаружения вторжений с использованием микросервисной архитектуры,23451.38,189,2973.45
Базовая IT-поддержка пользователей для медицинской организации,1421.2,18,324.84
Разработка IT-стратегии с фокусом на безопасность,15893.17,102,7626.54
Разработка Flutter приложения с нуля для медицинской организации,8236.74,387,2119.71
Построение BI-систем и аналитики для малого и среднего бизнеса,8335.66,81,3800.97
Внедрение ERP-системы с расширенным функционалом,136275.95,480,80728.37
Миграция в Azure для образовательной платформы,3980.62,53,1441.28
Архитектура облачных решений на Azure в сфере E-commerce,20233.46,85,4188.19
Разработка серверной части для IoT-решений на основе анализа требований,21156.38,210,3906.66
Архитектура облачных решений на AWS с учетом масштабируемости,34403.25,157,5054.93
Проведение аналитики больших данных для внутреннего использования,42956.89,212,23725.07
Внедрение автоматизированного тестирования ПО для внутреннего использования,14378.58,60,4180.11
Анализ уязвимостей веб-приложений в сфере E-commerce,12436.65,86,5364.49
Создание ML-решений для предсказаний для образовательной платформы,73535.93,280,11930.54
Настройка межсетевых экранов и систем обнаружения вторжений для стартапа,22120.26,142,2471.21
Обслуживание серверов и сетевого оборудования на основе анализа требований,5729.25,11,1066.83
Внедрение автоматизированного тестирования ПО с использованием микросервисной архитектуры,15229.39,87,3976.86
Развертывание решений по киберзащите для логистической компании,27930.93,119,5474.81
Разработка React Native приложения с нуля для конечных пользователей,54292.2,183,24687.64
Создание пользовательских интерфейсов для DApps для логистической компании,117328.46,292,23128.53
Разработка стратегии автоматизации инфраструктуры на основе анализа требований,16774.37,168,9236.14
Извлечение ценной информации из Big Data для стартапа,44436.85,436,19811.18
Разработка мобильного приложения на React Native для образовательной платформы,64934.01,279,36331.82
Проведение аудита IT-безопасности для образовательной платформы,22614.17,91,10163.6
Миграция в AWS с расширенным функционалом,10581.25,158,6135.65
Разработка веб-приложения полного цикла с использованием микросервисной архитектуры,31528.29,213,15080.2
Разработка инфраструктуры для Big Data для образовательной платформы,98045.29,134,58137.66
Оказание технической поддержки первой линии с использованием микросервисной архитектуры,465.68,26,162.5
Базовая IT-поддержка пользователей в сфере E-commerce,2829.07,25,1051.57
Создание кроссплатформенного приложения (React Native) в сфере E-commerce,22063.54,82,9138.94
Разработка высокопроизводительного iOS приложения для малого и среднего бизнеса,34676.67,361,16834.56
Frontend разработка для малого и среднего бизнеса,14174.13,134,3065.87
Построение системы управления проектами для финансового сектора,21255.24,137,2535.55
Разработка дашбордов и отчетов на основе анализа требований,11074.98,93,1662.68
Разработка решений на основе обработки естественного языка (NLP) на основе анализа требований,47721.58,392,11809.85
Настройка и адаптация CRM для отдела продаж для конечных пользователей,21686.07,251,6224.07
Управление облачной инфраструктурой в Azure с фокусом на безопасность,8989.57,51,944.15
Внедрение CI/CD с расширенным функционалом,27875.88,59,14170.99
Оценка уровня защищенности систем на основе анализа требований,20352.93,120,3706.41
Построение прогнозных моделей для стартапа,55700.41,122,26176.03
Консультации по цифровой трансформации для медицинской организации,15751.33,37,7306.99
Внедрение CI/CD для медицинской организации,30649.51,171,7240.45
Тестирование на проникновение с фокусом на безопасность,15575.21,149,5775.55
Разработка и аудит смарт-контрактов для логистической компании,40593.32,82,20377.39
Разработка маркетплейса для образовательной платформы,72305.0,282,27421.91
Оптимизация реляционных СУБД для логистической компании,19471.77,73,9315.37
Создание кроссплатформенного приложения (React Native) для логистической компании,13839.91,296,7592.97
Создание мультиарендной SaaS платформы для внутреннего использования,16184.64,561,3310.23
Оказание технической поддержки второй и третьей линии с использованием микросервисной архитектуры,7683.82,37,3432.72
Подбор IT-персонала для проекта для крупной корпорации,34743.46,143,14591.69
UX-исследование и проектирование с учетом масштабируемости,11526.12,49,3739.78
Миграция данных в SQL базы для логистической компании,19289.53,114,9222.25
Разработка маркетплейса для медицинской организации,95330.4,415,24917.87
Управление облачной инфраструктурой в AWS для крупной корпорации,34156.32,162,9399.92
Обслуживание серверов и сетевого оборудования для финансового сектора,2402.69,31,645.4
Разработка серверной части веб-приложения для стартапа,4482.65,264,1727.74
Проведение статистического анализа данных для внутреннего использования,16368.72,42,2305.46
Разработка пользовательского интерфейса с применением облачных технологий,18555.07,269,9678.27
Создание нереляционных хранилищ данных с применением облачных технологий,16475.84,178,3400.38
Внедрение комплексных систем безопасности для малого и среднего бизнеса,6224.12,101,1473.85
Проведение ручного тестирования ПО с расширенным функционалом,6484.84,25,749.22
Экспертная IT-поддержка и решение инцидентов для малого и среднего бизнеса,2678.84,35,1227.2
Разработка высококачественной графики на Unreal Engine для конечных пользователей,58350.8,204,19710.94
Интеграция CRM с маркетинговыми инструментами с использованием микросервисной архитектуры,45648.75,166,13883.63
Создание нереляционных хранилищ данных для образовательной платформы,33212.79,191,19339.28
Разработка веб-приложения полного цикла для логистической компании,19678.77,175,6359.2
Построение BI-систем и аналитики с использованием микросервисной архитектуры,15630.86,81,7357.42
Стратегический IT-консалтинг для стартапа,9637.07,78,1119.47
Настройка межсетевых экранов и систем обнаружения вторжений с учетом масштабируемости,19486.03,161,9596.85
Разработка React Native приложения с нуля с фокусом на безопасность,13415.31,241,4636.82
Проектирование и разработка веб-платформы для медицинской организации,34465.34,112,7966.82
Создание кроссплатформенного приложения (Flutter) с учетом масштабируемости,61199.56,65,23551.24
Разработка IT-стратегии для финансового сектора,15349.98,108,3528.81
Разработка высокопроизводительного Android приложения с расширенным функционалом,58547.36,81,7736.35
Разработка пайплайнов обработки данных с использованием микросервисной архитектуры,21765.03,127,3454.47
Создание кроссплатформенного приложения (Flutter) в сфере E-commerce,60530.69,232,24472.45
Создание мультиарендной SaaS платформы для стартапа,55770.2,142,16044.38
Разработка решений на основе обработки естественного языка (NLP) в сфере E-commerce,35289.51,464,7514.29
Настройка автоматизации развертывания с расширенным функционалом,29529.74,94,11502.89
Разработка нативного iOS приложения для крупной корпорации,30721.18,382,6133.9
Подбор IT-персонала для проекта с использованием микросервисной архитектуры,6936.51,154,3305.59
Разработка моделей классификации и регрессии в сфере E-commerce,59550.15,192,18984.82
Предоставление выделенной команды разработчиков для финансового сектора,17187.1,350,9764.52
Миграция в AWS для логистической компании,23016.91,162,11902.21
Разработка нативного iOS приложения для внутреннего использования,39725.26,202,18568.69
Разработка решений на основе обработки естественного языка (NLP) с использованием микросервисной архитектуры,29740.68,418,6912.6
Управление IT-проектами по методологиям Agile/Waterfall для внутреннего использования,24291.92,142,13300.68
Базовая IT-поддержка пользователей с применением облачных технологий,786.83,8,269.9
Внедрение CI/CD для внутреннего использования,18823.37,79,6315.62
Проведение ручного тестирования ПО для конечных пользователей,6569.82,17,2261.4
Разработка тестовых сценариев и фреймворков для внутреннего использования,3351.81,78,566.39
Внедрение автоматизированного тестирования ПО с использованием микросервисной архитектуры,19688.42,58,8594.89
Создание облачной платформы для IoT на основе анализа требований,47545.1,347,18735.8
Проектирование и реализация RESTful/GraphQL API для конечных пользователей,12329.4,45,3201.46
Построение прогнозных моделей с применением облачных технологий,14071.67,209,5609.54
Извлечение ценной информации из Big Data для крупной корпорации,21555.8,345,7201.44
Разработка децентрализованных приложений (DApps) с применением облачных технологий,16509.87,200,8531.28
Разработка стратегии автоматизации инфраструктуры для стартапа,6016.28,160,1318.09
Внедрение CI/CD для конечных пользователей,16958.46,103,6882.85
Разработка высококачественной графики на Unreal Engine для стартапа,58755.86,543,29254.8
Аутсорсинг функций IT-менеджмента для стартапа,8723.54,115,4567.02
Backend разработка для конечных пользователей,16269.29,84,7956.69
Управление облачной инфраструктурой в Azure для крупной корпорации,39751.45,137,19095.44
Разработка React Native приложения с нуля для финансового сектора,50229.92,177,20225.86
Frontend разработка с фокусом на безопасность,3698.54,37,877.82
Разработка IT-стратегии для образовательной платформы,10091.36,20,1565.42
Создание пользовательских интерфейсов для DApps с фокусом на безопасность,34947.69,282,16957.49
Создание фулстек решения с применением облачных технологий,23401.31,195,9530.42
Проектирование и разработка SQL баз данных с применением облачных технологий,18727.14,172,3992.51
Оказание технической поддержки второй и третьей линии с фокусом на безопасность,2021.17,18,351.99
Аудит соответствия стандартам безопасности для стартапа,22223.04,50,7846.08
Базовая IT-поддержка пользователей с фокусом на безопасность,3927.58,10,790.64
Обслуживание серверов и сетевого оборудования для внутреннего использования,3030.85,23,533.22
Проведение ручного тестирования ПО для логистической компании,7011.13,28,1211.18
Создание AAA-проектов на Unreal Engine для логистической компании,26323.39,213,7751.63
Проектирование взаимодействия пользователя для финансового сектора,9402.1,84,3398.13
Backend разработка с расширенным функционалом,26760.01,152,13470.22
Проведение пенетрационного тестирования (пентеста) для стартапа,28720.97,103,5547.83
Разработка мобильного приложения на Flutter для внутреннего использования,41369.32,240,23765.33
Создание пользовательских интерфейсов для DApps для стартапа,118119.22,257,69544.32
Проектирование взаимодействия пользователя с использованием микросервисной архитектуры,3155.38,72,940.27
Разработка децентрализованных приложений (DApps) для образовательной платформы,37113.44,60,10364.63
Создание пользовательских интерфейсов для DApps для крупной корпорации,100468.79,363,27903.9
Разработка высокопроизводительного Android приложения для внутреннего использования,20426.35,76,3046.42
Проведение пенетрационного тестирования (пентеста) для внутреннего использования,3702.89,108,931.73
Разработка React Native приложения с нуля для конечных пользователей,45727.55,69,21265.05
Разработка систем компьютерного зрения для образовательной платформы,12509.85,290,2527.21
Анализ уязвимостей веб-приложений для малого и среднего бизнеса,14791.48,78,2224.89
Интеграция ERP с другими системами с использованием микросервисной архитектуры,27622.65,602,9815.34
Создание Android приложения под ключ для образовательной платформы,19880.33,179,11054.77
Проектирование и разработка NoSQL баз данных для финансового сектора,4756.3,151,628.65
Разработка систем компьютерного зрения для логистической компании,83277.18,327,38979.84
Разработка масштабируемой E-commerce платформы для крупной корпорации,11892.52,317,3070.06
Архитектура облачных решений на Azure для крупной корпорации,17075.66,41,5836.63
Разработка высококачественной графики на Unreal Engine для финансового сектора,29691.05,254,15287.69
Создание мультиарендной SaaS платформы для образовательной платформы,80743.87,593,29227.92
Автоматизация DevOps процессов в сфере E-commerce,29914.58,100,14400.88
Приемочное тестирование для малого и среднего бизнеса,9895.41,20,3813.29
Построение системы управления проектами с использованием микросервисной архитектуры,21488.94,147,8232.3
Внедрение AmoCRM на основе анализа требований,40742.82,163,23110.88
Настройка межсетевых экранов и систем обнаружения вторжений с использованием микросервисной архитектуры,18511.96,33,10257.67
Внедрение Salesforce для стартапа,51318.6,133,24792.6
Создание Android приложения под ключ для малого и среднего бизнеса,51911.79,319,17063.9
Извлечение ценной информации из Big Data с фокусом на безопасность,14838.5,489,7995.3
Создание нереляционных хранилищ данных для крупной корпорации,22299.4,202,5120.95
Миграция в GCP для стартапа,39602.85,46,23503.24
Построение системы управления проектами в сфере E-commerce,19644.5,176,5666.08
Разработка тестовых сценариев и фреймворков для логистической компании,6067.09,116,2987.58
Настройка и оптимизация GCP для образовательной платформы,21010.94,63,3207.43
Проектирование и разработка NoSQL баз данных для конечных пользователей,29360.65,55,3629.78
Миграция в GCP с учетом масштабируемости,10063.27,110,4363.32
Предоставление команды IT-специалистов для крупной корпорации,15820.86,123,3102.41
Разработка прошивок и ПО для IoT-устройств для финансового сектора,38874.56,141,22216.49
Разработка пользовательского опыта (UX) для малого и среднего бизнеса,11939.43,70,2466.18
Проведение аналитики больших данных на основе анализа требований,16686.18,249,8600.19
Экспертная IT-поддержка и решение инцидентов для образовательной платформы,5936.07,43,3209.36
Настройка и оптимизация Azure для малого и среднего бизнеса,7867.54,192,1741.07
Настройка и оптимизация AWS для финансового сектора,17654.36,72,9531.91
Функциональное тестирование программных продуктов с расширенным функционалом,3427.02,51,562.52
Развертывание решений по киберзащите в сфере E-commerce,8262.36,110,3866.04
Разработка пользовательского интерфейса для конечных пользователей,20090.71,165,9417.46
Разработка прошивок и ПО для IoT-устройств для малого и среднего бизнеса,8878.07,267,3901.64
Создание ML-решений для предсказаний для крупной корпорации,65219.0,218,28253.42
Разработка смарт-контрактов на Solidity для стартапа,41425.72,105,13440.76
Анализ и интерпретация данных для принятия решений с фокусом на безопасность,17337.03,126,3851.19
Проведение пенетрационного тестирования (пентеста) с фокусом на безопасность,3124.87,156,403.85
Создание нереляционных хранилищ данных для медицинской организации,11105.28,129,6263.35
Проектирование и разработка NoSQL баз данных с использованием микросервисной архитектуры,29239.68,58,6117.03
Проведение аналитики больших данных с фокусом на безопасность,37738.74,140,16835.57
